"data","instituto","candidato","valor","voto"
"2014-06-07T01","Ibope","Dilma Rousseff",38,"total"
"2014-06-07T01","Ibope","Eduardo Campos",13,"total"
"2014-06-07T01","Ibope","Outros",6,"total"
"2014-06-15T01","Ibope","Aécio Neves",21,"total"
"2014-06-15T01","Ibope","Dilma Rousseff",39,"total"
"2014-06-15T01","Ibope","Eduardo Campos",10,"total"
"2014-06-15T01","Ibope","Outros",9,"total"
"2014-07-02T01","Datafolha","Aécio Neves",20,"total"
"2014-07-02T01","Datafolha","Dilma Rousseff",38,"total"
"2014-07-02T01","Datafolha","Eduardo Campos",9,"total"
"2014-07-02T01","Datafolha","Outros",9,"total"
"2014-07-15T01","Sensus","Aécio Neves",21,"total"
"2014-07-15T01","Sensus","Dilma Rousseff",32,"total"
"2014-07-15T01","Sensus","Eduardo Campos",7,"total"
"2014-07-15T01","Sensus","Outros",6,"total"
"2014-07-16T01","Datafolha","Aécio Neves",20,"total"
"2014-07-16T01","Datafolha","Dilma Rousseff",36,"total"
"2014-07-16T01","Datafolha","Eduardo Campos",8,"total"
"2014-07-16T01","Datafolha","Outros",8,"total"
"2014-07-21T01","Ibope","Aécio Neves",22,"total"
"2014-07-21T01","Ibope","Dilma Rousseff",38,"total"
"2014-07-21T01","Ibope","Eduardo Campos",8,"total"
"2014-07-21T01","Ibope","Outros",7,"total"
"2014-08-07T01","Ibope","Aécio Neves",23,"total"
"2014-08-07T01","Ibope","Dilma Rousseff",38,"total"
"2014-08-07T01","Ibope","Eduardo Campos",9,"total"
"2014-08-07T01","Ibope","Outros",5,"total"
"2014-08-15T01","Datafolha","Aécio Neves",20,"total"
"2014-08-15T01","Datafolha","Dilma Rousseff",36,"total"
"2014-08-15T01","Datafolha","Marina Silva",21,"total"
"2014-08-15T01","Datafolha","Outros",5,"total"
"2014-08-24T01","MDA","Aécio Neves",16,"total"
"2014-08-24T01","MDA","Dilma Rousseff",34,"total"
"2014-08-24T01","MDA","Marina Silva",28,"total"
"2014-08-24T01","MDA","Outros",2,"total"
"2014-08-25T01","Ibope","Aécio Neves",19,"total"
"2014-08-25T01","Ibope","Dilma Rousseff",34,"total"
"2014-08-25T01","Ibope","Marina Silva",29,"total"
"2014-08-25T01","Ibope","Outros",4,"total"
"2014-08-29T01","Datafolha","Aécio Neves",15,"total"
"2014-08-29T01","Datafolha","Dilma Rousseff",34,"total"
"2014-08-29T01","Datafolha","Marina Silva",34,"total"
"2014-08-29T01","Datafolha","Outros",3,"total"
"2014-09-02T01","Ibope","Aécio Neves",15,"total"
"2014-09-02T01","Ibope","Dilma Rousseff",37,"total"
"2014-09-02T01","Ibope","Marina Silva",33,"total"
"2014-09-02T01","Ibope","Outros",3,"total"
"2014-09-03T01","Datafolha","Aécio Neves",14,"total"
"2014-09-03T01","Datafolha","Dilma Rousseff",35,"total"
"2014-09-03T01","Datafolha","Marina Silva",34,"total"
"2014-09-03T01","Datafolha","Outros",4,"total"
"2014-09-07T01","MDA","Aécio Neves",15,"total"
"2014-09-07T01","MDA","Dilma Rousseff",38,"total"
"2014-09-07T01","MDA","Marina Silva",34,"total"
"2014-09-07T01","MDA","Outros",2,"total"
"2014-09-08T01","Ibope","Aécio Neves",15,"total"
"2014-09-08T01","Ibope","Dilma Rousseff",39,"total"
"2014-09-08T01","Ibope","Marina Silva",31,"total"
"2014-09-08T01","Ibope","Outros",1,"total"
"2014-09-09T01","Datafolha","Aécio Neves",15,"total"
"2014-09-09T01","Datafolha","Dilma Rousseff",36,"total"
"2014-09-09T01","Datafolha","Marina Silva",33,"total"
"2014-09-09T01","Datafolha","Outros",3,"total"
"2014-09-14T01","Vox Populi","Aécio Neves",15,"total"
"2014-09-14T01","Vox Populi","Dilma Rousseff",36,"total"
"2014-09-14T01","Vox Populi","Marina Silva",27,"total"
"2014-09-14T01","Vox Populi","Outros",2,"total"
"2014-09-15T01","Ibope","Aécio Neves",19,"total"
"2014-09-15T01","Ibope","Dilma Rousseff",36,"total"
"2014-09-15T01","Ibope","Marina Silva",30,"total"
"2014-09-15T01","Ibope","Outros",2,"total"
"2014-09-18T01","Datafolha","Aécio Neves",17,"total"
"2014-09-18T01","Datafolha","Dilma Rousseff",37,"total"
"2014-09-18T01","Datafolha","Marina Silva",30,"total"
"2014-09-18T01","Datafolha","Outros",3,"total"
"2014-09-21T01","MDA","Aécio Neves",18,"total"
"2014-09-21T01","MDA","Dilma Rousseff",36,"total"
"2014-09-21T01","MDA","Marina Silva",27,"total"
"2014-09-21T01","MDA","Outros",1,"total"
"2014-09-22T01","Ibope","Aécio Neves",19,"total"
"2014-09-22T01","Ibope","Dilma Rousseff",38,"total"
"2014-09-22T01","Ibope","Marina Silva",29,"total"
"2014-09-22T01","Ibope","Outros",2,"total"
"2014-09-23T01","Vox Populi","Aécio Neves",17,"total"
"2014-09-23T01","Vox Populi","Dilma Rousseff",40,"total"
"2014-09-23T01","Vox Populi","Marina Silva",22,"total"
"2014-09-23T01","Vox Populi","Outros",3,"total"
"2014-09-26T01","Datafolha","Aécio Neves",18,"total"
"2014-09-26T01","Datafolha","Dilma Rousseff",40,"total"
"2014-09-26T01","Datafolha","Marina Silva",27,"total"
"2014-09-26T01","Datafolha","Outros",3,"total"
"2014-08-15T01","Datafolha","Aécio Neves",24,"valido"
"2014-08-15T01","Datafolha","Dilma Rousseff",44,"valido"
"2014-08-15T01","Datafolha","Marina Silva",26,"valido"
"2014-08-15T01","Datafolha","Outros",6,"valido"
"2014-08-24T01","MDA","Aécio Neves",20,"valido"
"2014-08-24T01","MDA","Dilma Rousseff",43,"valido"
"2014-08-24T01","MDA","Marina Silva",35,"valido"
"2014-08-24T01","MDA","Outros",2,"valido"
"2014-08-25T01","Ibope","Aécio Neves",22,"valido"
"2014-08-25T01","Ibope","Dilma Rousseff",40,"valido"
"2014-08-25T01","Ibope","Marina Silva",34,"valido"
"2014-08-25T01","Ibope","Outros",3,"valido"
"2014-08-29T01","Datafolha","Aécio Neves",17,"valido"
"2014-08-29T01","Datafolha","Dilma Rousseff",40,"valido"
"2014-08-29T01","Datafolha","Marina Silva",40,"valido"
"2014-08-29T01","Datafolha","Outros",3,"valido"
"2014-09-02T01","Ibope","Aécio Neves",17,"valido"
"2014-09-02T01","Ibope","Dilma Rousseff",42,"valido"
"2014-09-02T01","Ibope","Marina Silva",38,"valido"
"2014-09-02T01","Ibope","Outros",3,"valido"
"2014-09-03T01","Datafolha","Aécio Neves",16,"valido"
"2014-09-03T01","Datafolha","Dilma Rousseff",40,"valido"
"2014-09-03T01","Datafolha","Marina Silva",39,"valido"
"2014-09-03T01","Datafolha","Outros",4,"valido"
"2014-09-07T01","MDA","Aécio Neves",17,"valido"
"2014-09-07T01","MDA","Dilma Rousseff",43,"valido"
"2014-09-07T01","MDA","Marina Silva",38,"valido"
"2014-09-07T01","MDA","Outros",2,"valido"
"2014-09-08T01","Ibope","Aécio Neves",18,"valido"
"2014-09-08T01","Ibope","Dilma Rousseff",44,"valido"
"2014-09-08T01","Ibope","Marina Silva",35,"valido"
"2014-09-08T01","Ibope","Outros",3,"valido"
"2014-09-09T01","Datafolha","Aécio Neves",17,"valido"
"2014-09-09T01","Datafolha","Dilma Rousseff",41,"valido"
"2014-09-09T01","Datafolha","Marina Silva",38,"valido"
"2014-09-09T01","Datafolha","Outros",3,"valido"
"2014-09-14T01","Vox Populi","Aécio Neves",19,"valido"
"2014-09-14T01","Vox Populi","Dilma Rousseff",45,"valido"
"2014-09-14T01","Vox Populi","Marina Silva",34,"valido"
"2014-09-14T01","Vox Populi","Outros",2,"valido"
"2014-09-15T01","Ibope","Aécio Neves",21,"valido"
"2014-09-15T01","Ibope","Dilma Rousseff",42,"valido"
"2014-09-15T01","Ibope","Marina Silva",34,"valido"
"2014-09-15T01","Ibope","Outros",3,"valido"
"2014-09-18T01","Datafolha","Aécio Neves",20,"valido"
"2014-09-18T01","Datafolha","Dilma Rousseff",43,"valido"
"2014-09-18T01","Datafolha","Marina Silva",34,"valido"
"2014-09-18T01","Datafolha","Outros",3,"valido"
"2014-09-21T01","MDA","Aécio Neves",22,"valido"
"2014-09-21T01","MDA","Dilma Rousseff",44,"valido"
"2014-09-21T01","MDA","Marina Silva",33,"valido"
"2014-09-21T01","MDA","Outros",1,"valido"
"2014-09-22T01","Ibope","Aécio Neves",21,"valido"
"2014-09-22T01","Ibope","Dilma Rousseff",43,"valido"
"2014-09-22T01","Ibope","Marina Silva",33,"valido"
"2014-09-22T01","Ibope","Outros",3,"valido"
"2014-09-23T01","Vox Populi","Aécio Neves",21,"valido"
"2014-09-23T01","Vox Populi","Dilma Rousseff",49,"valido"
"2014-09-23T01","Vox Populi","Marina Silva",27,"valido"
"2014-09-23T01","Vox Populi","Outros",3,"valido"
"2014-09-26T01","Datafolha","Aécio Neves",20,"valido"
"2014-09-26T01","Datafolha","Dilma Rousseff",45,"valido"
"2014-09-26T01","Datafolha","Marina Silva",31,"valido"
"2014-09-26T01","Datafolha","Outros",3,"valido"
"2014-09-26T02","Sensus","Aécio Neves",21,"total"
"2014-09-26T02","Sensus","Dilma Rousseff",35,"total"
"2014-09-26T02","Sensus","Marina Silva",25,"total"
"2014-09-26T02","Sensus","Outros",3,"total"
"2014-09-28T01","MDA","Aécio Neves",20,"total"
"2014-09-28T01","MDA","Dilma Rousseff",40,"total"
"2014-09-28T01","MDA","Marina Silva",25,"total"
"2014-09-28T01","MDA","Outros",2,"total"
"2014-09-26T02","Sensus","Aécio Neves",25,"valido"
"2014-09-26T02","Sensus","Dilma Rousseff",42,"valido"
"2014-09-26T02","Sensus","Marina Silva",30,"valido"
"2014-09-26T02","Sensus","Outros",4,"valido"
"2014-09-28T01","MDA","Aécio Neves",23,"valido"
"2014-09-28T01","MDA","Dilma Rousseff",46,"valido"
"2014-09-28T01","MDA","Marina Silva",29,"valido"
"2014-09-28T01","MDA","Outros",2,"valido"
"2014-09-29T01","Ibope","Aécio Neves",19,"total"
"2014-09-29T01","Ibope","Dilma Rousseff",39,"total"
"2014-09-29T01","Ibope","Marina Silva",25,"total"
"2014-09-29T01","Ibope","Outros",3,"total"
"2014-09-29T01","Ibope","Aécio Neves",22,"valido"
"2014-09-29T01","Ibope","Dilma Rousseff",45,"valido"
"2014-09-29T01","Ibope","Marina Silva",29,"valido"
"2014-09-29T01","Ibope","Outros",4,"valido"
"2014-09-29T12","Datafolha","Aécio Neves",20,"total"
"2014-09-29T12","Datafolha","Dilma Rousseff",40,"total"
"2014-09-29T12","Datafolha","Marina Silva",25,"total"
"2014-09-29T12","Datafolha","Outros",3,"total"
"2014-09-29T12","Datafolha","Aécio Neves",22,"valido"
"2014-09-29T12","Datafolha","Dilma Rousseff",45,"valido"
"2014-09-29T12","Datafolha","Marina Silva",29,"valido"
"2014-09-29T12","Datafolha","Outros",4,"valido"
